Trans. Date,Post Date,Description,Amount,Category
05/12/2025,05/12/2025,"ACME NO. 17 STOW OHAPPLE PAY ENDING IN 9002",200.00,"Supermarkets"
05/07/2025,05/07/2025,"MARC'S STOW STOW OHAPPLE PAY ENDING IN 8399",2.00,"Supermarkets"
05/06/2025,05/06/2025,"ACME NO. 17 STOW OH",100.00,"Supermarkets"
05/06/2025,05/06/2025,"MARC'S STOW STOW OHAPPLE PAY ENDING IN 8399",2.86,"Supermarkets"
04/30/2025,04/30/2025,"SAMS STORE 04750 CUYAHOGA FALLOH",9.15,"Warehouse Clubs"
04/30/2025,04/30/2025,"SAMS STORE 04750 CUYAHOGA FALLOH",9.93,"Warehouse Clubs"
04/30/2025,04/30/2025,"SAMS STORE 04750 CUYAHOGA FALLOH",63.98,"Warehouse Clubs"
04/30/2025,04/30/2025,"SAMS STORE 04750 CUYAHOGA FALLOH",100.75,"Warehouse Clubs"
04/27/2025,04/27/2025,"TINK HOLL ENTERPRISES IN CLEVELAND OH",83.07,"Supermarkets"
04/26/2025,04/26/2025,"SAMS STORE 04750 CUYAHOGA FALLOH",95.76,"Warehouse Clubs"
04/26/2025,04/26/2025,"WALMART STORE 02323 STOW OH",4.47,"Merchandise"
04/25/2025,04/25/2025,"CASHBACK BONUS REDEMPTION PYMT/STMT CRDT",-32.60,"Awards and Rebate Credits"
04/25/2025,04/25/2025,"INTERNET PAYMENT - THANK YOU",-631.00,"Payments and Credits"
04/24/2025,04/24/2025,"GIANT-EAGLE #4032 STOW OHAPPLE PAY ENDING IN 8399",54.92,"Supermarkets"
04/21/2025,04/21/2025,"WALMART STORE 02323 STOW OH",2.00,"Merchandise"
